Status: 0x00000000
Fx: -10652710
Fy: -4268301
Fz: -30577496
Tx: 62814
Ty: 199027
Tz: -207269
1645283591007
Status: 0x00000000
Fx: -10655473
Fy: -4272058
Fz: -30574860
Tx: 62631
Ty: 199413
Tz: -207230
1645283591164
Status: 0x00000000
Fx: -10662183
Fy: -4265927
Fz: -30578204
Tx: 62668
Ty: 199275
Tz: -207219
1645283591322
Status: 0x00000000
Fx: -10656499
Fy: -4267669
Fz: -30579860
Tx: 62804
Ty: 199307
Tz: -207087
1645283591480
Status: 0x00000000
Fx: -10657131
Fy: -4267979
Fz: -30576228
Tx: 62784
Ty: 199035
Tz: -207053
1645283591648
Status: 0x00000000
Fx: -10660653
Fy: -4278064
Fz: -30578754
Tx: 62688
Ty: 199491
Tz: -207195
1645283591803
Status: 0x00000000
Fx: -10652231
Fy: -4264218
Fz: -30574408
Tx: 63011
Ty: 199172
Tz: -207221
1645283591960
Status: 0x00000000
Fx: -10658683
Fy: -4276877
Fz: -30577772
Tx: 62720
Ty: 199490
Tz: -206954
1645283592112
Status: 0x00000000
Fx: -10664406
Fy: -4278349
Fz: -30573528
Tx: 62818
Ty: 199536
Tz: -207068
1645283592276
Status: 0x00000000
Fx: -10662659
Fy: -4272786
Fz: -30575578
Tx: 62833
Ty: 199435
Tz: -207312
1645283592433
Status: 0x00000000
Fx: -10666122
Fy: -4271519
Fz: -30571956
Tx: 63074
Ty: 199498
Tz: -207258
1645283592588
Status: 0x00000000
Fx: -10669024
Fy: -4274579
Fz: -30573920
Tx: 62966
Ty: 199540
Tz: -207267
1645283592744
Status: 0x00000000
Fx: -10656776
Fy: -4276053
Fz: -30579502
Tx: 62718
Ty: 199528
Tz: -206959
1645283592899
Status: 0x00000000
Fx: -10662031
Fy: -4277332
Fz: -30569142
Tx: 63027
Ty: 199475
Tz: -207040
1645283593056
Status: 0x00000000
Fx: -10659292
Fy: -4271894
Fz: -30573444
Tx: 62987
Ty: 199490
Tz: -207042
1645283593221
Status: 0x00000000
Fx: -10661259
Fy: -4271982
Fz: -30567068
Tx: 63347
Ty: 199594
Tz: -207253
1645283593374
Status: 0x00000000
Fx: -10658394
Fy: -4274737
Fz: -30566024
Tx: 63051
Ty: 199437
Tz: -207013
1645283593541
Status: 0x00000000
Fx: -10656454
Fy: -4268535
Fz: -30574080
Tx: 63047
Ty: 199369
Tz: -206873
1645283593701
Status: 0x00000000
Fx: -10657910
Fy: -4274309
Fz: -30567812
Tx: 63157
Ty: 199509
Tz: -207384
1645283593857
Status: 0x00000000
Fx: -10658144
Fy: -4264826
Fz: -30570682
Tx: 63089
Ty: 199609
Tz: -207145
1645283594013
Status: 0x00000000
Fx: -10660045
Fy: -4272327
Fz: -30564772
Tx: 63154
Ty: 199713
Tz: -207112
1645283594167
Status: 0x00000000
Fx: -10652635
Fy: -4272801
Fz: -30566524
Tx: 63038
Ty: 199559
Tz: -207021
1645283594321
Status: 0x00000000
Fx: -10656464
Fy: -4263367
Fz: -30578752
Tx: 63055
Ty: 199267
Tz: -207276
1645283594475
Status: 0x00000000
Fx: -10660224
Fy: -4276848
Fz: -30570320
Tx: 62896
Ty: 199731
Tz: -207076
1645283594629
Status: 0x00000000
Fx: -10648460
Fy: -4280044
Fz: -30755356
Tx: 62510
Ty: 198740
Tz: -207299
1645283594784
Status: 0x00000000
Fx: -10639848
Fy: -4276912
Fz: -30986022
Tx: 62319
Ty: 197342
Tz: -207189
1645283594938
Status: 0x00000000
Fx: -10630324
Fy: -4285889
Fz: -31185736
Tx: 61629
Ty: 196258
Tz: -207152
1645283595090
Status: 0x00000000
Fx: -10624847
Fy: -4292745
Fz: -31362108
Tx: 61392
Ty: 195602
Tz: -207377
1645283595252
Status: 0x00000000
Fx: -10599463
Fy: -4310892
Fz: -31527956
Tx: 61313
Ty: 194859
Tz: -207402
1645283595405
Status: 0x00000000
Fx: -10598492
Fy: -4295836
Fz: -31752992
Tx: 63126
Ty: 193351
Tz: -207112
1645283595559
Status: 0x00000000
Fx: -10590663
Fy: -4266183
Fz: -31915552
Tx: 63175
Ty: 192612
Tz: -207369
1645283595716
Status: 0x00000000
Fx: -10594841
Fy: -4295903
Fz: -32096356
Tx: 63808
Ty: 191632
Tz: -207178
1645283595871
Status: 0x00000000
Fx: -10566483
Fy: -4288899
Fz: -32302304
Tx: 64289
Ty: 190416
Tz: -207301
1645283596031
Status: 0x00000000
Fx: -10563473
Fy: -4274500
Fz: -32577356
Tx: 64658
Ty: 189967
Tz: -207470
1645283596193
Status: 0x00000000
Fx: -10568949
Fy: -4285681
Fz: -32801744
Tx: 64689
Ty: 190240
Tz: -207527
1645283596348
Status: 0x00000000
Fx: -10570132
Fy: -4319688
Fz: -33096908
Tx: 64919
Ty: 189866
Tz: -207433
1645283596502
Status: 0x00000000
Fx: -10542074
Fy: -4278495
Fz: -33420180
Tx: 65035
Ty: 188720
Tz: -207685
1645283596655
Status: 0x00000000
Fx: -10498092
Fy: -4296178
Fz: -33732876
Tx: 65790
Ty: 187491
Tz: -207259
1645283596814
Status: 0x00000000
Fx: -10524580
Fy: -4367221
Fz: -34072600
Tx: 67357
Ty: 186700
Tz: -207388
1645283596968
Status: 0x00000000
Fx: -10500998
Fy: -4339732
Fz: -34401808
Tx: 68261
Ty: 186467
Tz: -207486
1645283597121
Status: 0x00000000
Fx: -10470114
Fy: -4316131
Fz: -34746480
Tx: 68822
Ty: 186105
Tz: -207482
1645283597280
Status: 0x00000000
Fx: -10437529
Fy: -4310898
Fz: -35058032
Tx: 69614
Ty: 185847
Tz: -207281
1645283597437
Status: 0x00000000
Fx: -10419846
Fy: -4316172
Fz: -35306808
Tx: 70438
Ty: 185110
Tz: -207498
1645283597591
Status: 0x00000000
Fx: -10398795
Fy: -4232174
Fz: -35565212
Tx: 71153
Ty: 184550
Tz: -207637
1645283597751
Status: 0x00000000
Fx: -10426094
Fy: -4232425
Fz: -35737656
Tx: 71732
Ty: 184199
Tz: -207612
1645283597902
Status: 0x00000000
Fx: -10424453
Fy: -4196078
Fz: -35861720
Tx: 71945
Ty: 183660
Tz: -207881
1645283598057
Status: 0x00000000
Fx: -10414797
Fy: -4198318
Fz: -36043916
Tx: 72321
Ty: 183208
Tz: -207591
1645283598211
Status: 0x00000000
Fx: -10386616
Fy: -4166170
Fz: -36199452
Tx: 72698
Ty: 182777
Tz: -207698
1645283598366
Status: 0x00000000
Fx: -10401040
Fy: -4195992
Fz: -36352540
Tx: 73087
Ty: 182269
Tz: -207683
1645283598520
Status: 0x00000000
Fx: -10351117
Fy: -4096111
Fz: -36536224
Tx: 73622
Ty: 182236
Tz: -208168
1645283598681
Status: 0x00000000
Fx: -10397549
Fy: -4146692
Fz: -36666484
Tx: 74325
Ty: 181593
Tz: -207648
1645283598835
Status: 0x00000000
Fx: -10377867
Fy: -4107539
Fz: -36842016
Tx: 74681
Ty: 180959
Tz: -207870
1645283598987
Status: 0x00000000
Fx: -10392649
Fy: -4109777
Fz: -36922040
Tx: 74863
Ty: 180992
Tz: -207868
1645283599137
Status: 0x00000000
Fx: -10423156
Fy: -4111152
Fz: -36921800
Tx: 74729
Ty: 181193
Tz: -208002
1645283599299
Status: 0x00000000
Fx: -10454857
Fy: -4147951
Fz: -36946732
Tx: 74549
Ty: 181097
Tz: -207951
1645283599457
Status: 0x00000000
Fx: -10472003
Fy: -4154058
Fz: -36929892
Tx: 74676
Ty: 181418
Tz: -207613
1645283599611
Status: 0x00000000
Fx: -10388726
Fy: -4104035
Fz: -36946112
Tx: 74703
Ty: 181246
Tz: -207896
1645283599768
Status: 0x00000000
Fx: -10392455
Fy: -4104980
Fz: -36948760
Tx: 74503
Ty: 181529
Tz: -208026
1645283599921
Status: 0x00000000
Fx: -10384520
Fy: -4164628
Fz: -36954880
Tx: 74417
Ty: 181797
Tz: -207781
1645283600075
Status: 0x00000000
Fx: -10370878
Fy: -4138323
Fz: -37062860
Tx: 74556
Ty: 181478
Tz: -207798
1645283600230
Status: 0x00000000
Fx: -10314459
Fy: -4157613
Fz: -37104296
Tx: 74366
Ty: 181332
Tz: -207378
1645283600383
Status: 0x00000000
Fx: -10312197
Fy: -4094966
Fz: -37211940
Tx: 74715
Ty: 180849
Tz: -207783
1645283600536
Status: 0x00000000
Fx: -10225490
Fy: -4087913
Fz: -37270368
Tx: 74739
Ty: 181074
Tz: -207524
1645283600692
Status: 0x00000000
Fx: -10370516
Fy: -4312497
Fz: -37206708
Tx: 74803
Ty: 181452
Tz: -207186
1645283600849
Status: 0x00000000
Fx: -10285185
Fy: -4536549
Fz: -37117288
Tx: 74662
Ty: 182544
Tz: -206649
1645283601005
Status: 0x00000000
Fx: -10327445
Fy: -4574273
Fz: -37033268
Tx: 76040
Ty: 184303
Tz: -206461
1645283601158
Status: 0x00000000
Fx: -10350303
Fy: -4510623
Fz: -36898356
Tx: 76606
Ty: 185636
Tz: -206651
1645283601315
Status: 0x00000000
Fx: -10376838
Fy: -4521414
Fz: -36811300
Tx: 76916
Ty: 185991
Tz: -206655
1645283601473
Status: 0x00000000
Fx: -10556717
Fy: -4705249
Fz: -37221496
Tx: 78275
Ty: 185671
Tz: -206446
1645283601634
Status: 0x00000000
Fx: -10604739
Fy: -4664159
Fz: -37215596
Tx: 78258
Ty: 185773
Tz: -206920
1645283601790
Status: 0x00000000
Fx: -10645257
Fy: -4657208
Fz: -37201916
Tx: 78286
Ty: 185653
Tz: -207075
1645283601944
Status: 0x00000000
Fx: -10654261
Fy: -4629299
Fz: -37195040
