Status: 0x00000000
Fx: -13317261
Fy: -7691542
Fz: -27073156
Tx: 84452
Ty: 173697
Tz: -217684
1646316489220
Status: 0x00000000
Fx: -13308588
Fy: -7691036
Fz: -27069896
Tx: 84203
Ty: 173628
Tz: -217817
1646316489370
Status: 0x00000000
Fx: -13313469
Fy: -7696588
Fz: -27078004
Tx: 84047
Ty: 173817
Tz: -217916
1646316489589
Status: 0x00000000
Fx: -13317103
Fy: -7692393
Fz: -27077980
Tx: 84226
Ty: 173636
Tz: -217723
1646316489741
Status: 0x00000000
Fx: -13312764
Fy: -7693423
Fz: -27073740
Tx: 84228
Ty: 173940
Tz: -217897
1646316489893
Status: 0x00000000
Fx: -13313542
Fy: -7688701
Fz: -27076294
Tx: 84337
Ty: 173836
Tz: -217705
1646316490045
Status: 0x00000000
Fx: -13310668
Fy: -7693695
Fz: -27061730
Tx: 84176
Ty: 173937
Tz: -217873
1646316490196
Status: 0x00000000
Fx: -13311443
Fy: -7693628
Fz: -27071450
Tx: 84129
Ty: 173854
Tz: -217867
1646316490346
Status: 0x00000000
Fx: -13310159
Fy: -7692909
Fz: -27077828
Tx: 84263
Ty: 174056
Tz: -217822
1646316490498
Status: 0x00000000
Fx: -13308662
Fy: -7693586
Fz: -27061788
Tx: 84304
Ty: 173953
Tz: -217559
1646316490671
Status: 0x00000000
Fx: -13312257
Fy: -7699919
Fz: -27064828
Tx: 84026
Ty: 174139
Tz: -217670
1646316490826
Status: 0x00000000
Fx: -13312507
Fy: -7698032
Fz: -27054468
Tx: 83896
Ty: 174276
Tz: -217708
1646316490982
Status: 0x00000000
Fx: -13313890
Fy: -7699328
Fz: -27058702
Tx: 84284
Ty: 174074
Tz: -217601
1646316491136
Status: 0x00000000
Fx: -13318256
Fy: -7691176
Fz: -27060892
Tx: 84457
Ty: 174065
Tz: -217576
1646316491287
Status: 0x00000000
Fx: -13305612
Fy: -7695892
Fz: -27060692
Tx: 84372
Ty: 174179
Tz: -217738
1646316491437
Status: 0x00000000
Fx: -13311617
Fy: -7686549
Fz: -27061188
Tx: 84194
Ty: 174399
Tz: -217528
1646316491588
Status: 0x00000000
Fx: -13308551
Fy: -7691877
Fz: -27057436
Tx: 84302
Ty: 174189
Tz: -217935
1646316491740
Status: 0x00000000
Fx: -13303353
Fy: -7694981
Fz: -27062952
Tx: 84494
Ty: 174369
Tz: -217754
1646316491890
Status: 0x00000000
Fx: -13304428
Fy: -7693342
Fz: -27048776
Tx: 84401
Ty: 174409
Tz: -217742
1646316492041
Status: 0x00000000
Fx: -13313329
Fy: -7696589
Fz: -27044308
Tx: 84236
Ty: 174705
Tz: -217717
1646316492198
Status: 0x00000000
Fx: -13304496
Fy: -7699901
Fz: -27054368
Tx: 83983
Ty: 174446
Tz: -217723
1646316492351
Status: 0x00000000
Fx: -13309633
Fy: -7698856
Fz: -27042966
Tx: 84335
Ty: 174796
